_time,percent_usage
2021-02-13 01:09:35,0.808
2021-02-13 01:09:40,0.8078
2021-02-13 01:09:45,0.808
2021-02-13 01:09:50,0.8078
2021-02-13 01:09:55,0.808
2021-02-13 01:10:00,0.8078
2021-02-13 01:10:05,0.8078
2021-02-13 01:10:10,0.8078
2021-02-13 01:10:15,0.808
2021-02-13 01:10:20,0.808
2021-02-13 01:10:25,0.8078
2021-02-13 01:10:30,0.808
2021-02-13 01:10:35,0.808
2021-02-13 01:10:40,0.8078
2021-02-13 01:10:45,0.808
2021-02-13 01:10:50,0.808
2021-02-13 01:10:55,0.808
2021-02-13 01:11:00,0.8078
2021-02-13 01:11:05,0.808
2021-02-13 01:11:10,0.808
2021-02-13 01:11:15,0.8078
2021-02-13 01:11:20,0.808
2021-02-13 01:11:25,0.808
2021-02-13 01:11:30,0.808
2021-02-13 01:11:35,0.808
2021-02-13 01:11:40,0.8078
2021-02-13 01:11:45,0.808
2021-02-13 01:11:50,0.8078
2021-02-13 01:11:55,0.808
2021-02-13 01:12:00,0.808
2021-02-13 01:12:05,0.8078
2021-02-13 01:12:10,0.808
2021-02-13 01:12:15,0.808
2021-02-13 01:12:20,0.8078
2021-02-13 01:12:26,0.808
2021-02-13 01:12:31,0.808
2021-02-13 01:12:36,0.808
2021-02-13 01:12:41,0.8078
2021-02-13 01:12:46,0.808
2021-02-13 01:12:51,0.808
2021-02-13 01:12:56,0.8078
2021-02-13 01:13:01,0.808
2021-02-13 01:13:06,0.808
2021-02-13 01:13:11,0.808
2021-02-13 01:13:16,0.808
2021-02-13 01:13:21,0.8078
2021-02-13 01:13:26,0.808
2021-02-13 01:13:31,0.808
2021-02-13 01:13:36,0.808
2021-02-13 01:13:41,0.8078
2021-02-13 01:13:46,0.808
2021-02-13 01:13:51,0.8078
2021-02-13 01:13:56,0.808
2021-02-13 01:14:01,0.808
2021-02-13 01:14:06,0.8078
2021-02-13 01:14:11,0.808
2021-02-13 01:14:16,0.808
2021-02-13 01:14:21,0.808
2021-02-13 01:14:26,0.808
2021-02-13 01:14:31,0.808
2021-02-13 01:14:36,0.808
2021-02-13 01:14:41,0.8078
2021-02-13 01:14:46,0.808
2021-02-13 01:14:51,0.808
2021-02-13 01:14:56,0.808
2021-02-13 01:15:01,0.8078
2021-02-13 01:15:06,0.808
2021-02-13 01:15:11,0.808
2021-02-13 01:15:16,0.808
2021-02-13 01:15:21,0.808
2021-02-13 01:15:26,0.808
2021-02-13 01:15:31,0.808
2021-02-13 01:15:36,0.808
2021-02-13 01:15:41,0.808
2021-02-13 01:15:46,0.808
2021-02-13 01:15:51,0.808
2021-02-13 01:15:56,0.808
2021-02-13 01:16:01,0.8078
2021-02-13 01:16:06,0.808
2021-02-13 01:16:11,0.808
2021-02-13 01:16:16,0.808
2021-02-13 01:16:21,0.8078
2021-02-13 01:16:26,0.808
2021-02-13 01:16:31,0.808
2021-02-13 01:16:36,0.808
2021-02-13 01:16:41,0.808
2021-02-13 01:16:46,0.808
2021-02-13 01:16:51,0.808
2021-02-13 01:16:56,0.808
2021-02-13 01:17:01,0.808
2021-02-13 01:17:06,0.808
2021-02-13 01:17:11,0.808
2021-02-13 01:17:16,0.808
2021-02-13 01:17:21,0.808
2021-02-13 01:17:26,0.808
2021-02-13 01:17:31,0.808
2021-02-13 01:17:36,0.808
2021-02-13 01:17:41,0.808
2021-02-13 01:17:46,0.808
2021-02-13 01:17:51,0.808
2021-02-13 01:17:56,0.808
2021-02-13 01:18:01,0.808
2021-02-13 01:18:06,0.808
2021-02-13 01:18:11,0.808
2021-02-13 01:18:16,0.808
2021-02-13 01:18:21,0.808
2021-02-13 01:18:26,0.808
2021-02-13 01:18:31,0.808
2021-02-13 01:18:36,0.808
2021-02-13 01:18:41,0.808
2021-02-13 01:18:46,0.808
2021-02-13 01:18:51,0.808
2021-02-13 01:18:56,0.808
2021-02-13 01:19:01,0.808
2021-02-13 01:19:06,0.808
2021-02-13 01:19:11,0.808
2021-02-13 01:19:16,0.808
2021-02-13 01:19:21,0.808
2021-02-13 01:19:26,0.808
2021-02-13 01:19:31,0.808
2021-02-13 01:19:36,0.808
2021-02-13 01:19:41,0.808
2021-02-13 01:19:46,0.808
2021-02-13 01:19:51,0.808
2021-02-13 01:19:56,0.808
2021-02-13 01:20:02,0.8078
2021-02-13 01:20:07,0.808
2021-02-13 01:20:12,0.808
2021-02-13 01:20:17,0.808
2021-02-13 01:20:22,0.8079
2021-02-13 01:20:27,0.8079
2021-02-13 01:20:32,0.8079
2021-02-13 01:20:37,0.8079
2021-02-13 01:20:42,0.8081
2021-02-13 01:20:47,0.8081
2021-02-13 01:20:52,0.8079
2021-02-13 01:20:57,0.8081
2021-02-13 01:21:02,0.8079
2021-02-13 01:21:07,0.8081
2021-02-13 01:21:12,0.8079
2021-02-13 01:21:17,0.8081
2021-02-13 01:21:22,0.8081
2021-02-13 01:21:27,0.8079
2021-02-13 01:21:32,0.8081
2021-02-13 01:21:37,0.8079
2021-02-13 01:21:42,0.8081
2021-02-13 01:21:47,0.8079
2021-02-13 01:21:52,0.8081
2021-02-13 01:21:57,0.8081
2021-02-13 01:22:02,0.8079
2021-02-13 01:22:07,0.8081
2021-02-13 01:22:12,0.8079
2021-02-13 01:22:17,0.8081
2021-02-13 01:22:22,0.8079
2021-02-13 01:22:27,0.8081
2021-02-13 01:22:32,0.8081
2021-02-13 01:22:37,0.8079
2021-02-13 01:22:42,0.8079
2021-02-13 01:22:47,0.8081
2021-02-13 01:22:52,0.8081
2021-02-13 01:22:57,0.8079
2021-02-13 01:23:02,0.8081
2021-02-13 01:23:07,0.8081
2021-02-13 01:23:12,0.8079
2021-02-13 01:23:17,0.8081
2021-02-13 01:23:22,0.8081
2021-02-13 01:23:27,0.8079
2021-02-13 01:23:32,0.8081
2021-02-13 01:23:37,0.8079
2021-02-13 01:23:42,0.8081
2021-02-13 01:23:47,0.8081
2021-02-13 01:23:52,0.8079
2021-02-13 01:23:57,0.8081
2021-02-13 01:24:02,0.8081
2021-02-13 01:24:07,0.8079
2021-02-13 01:24:12,0.8081
2021-02-13 01:24:17,0.8081
2021-02-13 01:24:22,0.8079
2021-02-13 01:24:27,0.8081
2021-02-13 01:24:32,0.8081
2021-02-13 01:24:37,0.8079
2021-02-13 01:24:42,0.8081
2021-02-13 01:24:47,0.8079
2021-02-13 01:24:52,0.8081
2021-02-13 01:24:57,0.8081
2021-02-13 01:25:02,0.8081
2021-02-13 01:25:07,0.8079
2021-02-13 01:25:12,0.8081
2021-02-13 01:25:17,0.8081
2021-02-13 01:25:22,0.8079
2021-02-13 01:25:27,0.8081
2021-02-13 01:25:32,0.8081
2021-02-13 01:25:37,0.8081
2021-02-13 01:25:42,0.8079
2021-02-13 01:25:47,0.8081
2021-02-13 01:25:52,0.8081
2021-02-13 01:25:57,0.8079
2021-02-13 01:26:02,0.8081
2021-02-13 01:26:07,0.8081
2021-02-13 01:26:12,0.8081
2021-02-13 01:26:17,0.8079
2021-02-13 01:26:22,0.8081
2021-02-13 01:26:27,0.8081
2021-02-13 01:26:32,0.8079
2021-02-13 01:26:37,0.8081
2021-02-13 01:26:42,0.8079
2021-02-13 01:26:47,0.8081
2021-02-13 01:26:52,0.8081
2021-02-13 01:26:57,0.8081
2021-02-13 01:27:02,0.8079
2021-02-13 01:27:07,0.8081
2021-02-13 01:27:12,0.8081
2021-02-13 01:27:17,0.8079
2021-02-13 01:27:22,0.8089
2021-02-13 01:27:27,0.8091
2021-02-13 01:27:32,0.8082
2021-02-13 01:27:37,0.8079
2021-02-13 01:27:42,0.8079
2021-02-13 01:27:47,0.8081
2021-02-13 01:27:52,0.8081
2021-02-13 01:27:57,0.8079
2021-02-13 01:28:02,0.8081
2021-02-13 01:28:08,0.8081
2021-02-13 01:28:13,0.8081
2021-02-13 01:28:18,0.8081
2021-02-13 01:28:23,0.8079
2021-02-13 01:28:28,0.8081
2021-02-13 01:28:33,0.8081
2021-02-13 01:28:38,0.8082
2021-02-13 01:28:43,0.8081
2021-02-13 01:28:48,0.808
2021-02-13 01:28:53,0.8081
2021-02-13 01:28:58,0.8081
2021-02-13 01:29:03,0.808
2021-02-13 01:29:08,0.8081
2021-02-13 01:29:13,0.8081
2021-02-13 01:29:18,0.8081
2021-02-13 01:29:23,0.808
2021-02-13 01:29:28,0.8081
2021-02-13 01:29:33,0.8081
2021-02-13 01:29:38,0.8081
2021-02-13 01:29:43,0.8081
2021-02-13 01:29:48,0.8081
2021-02-13 01:29:53,0.808
2021-02-13 01:29:58,0.8081
2021-02-13 01:30:03,0.808
2021-02-13 01:30:08,0.8081
2021-02-13 01:30:13,0.808
2021-02-13 01:30:18,0.8081
2021-02-13 01:30:23,0.8081
2021-02-13 01:30:28,0.8097
2021-02-13 01:30:33,0.8081
2021-02-13 01:30:38,0.808
2021-02-13 01:30:43,0.8081
2021-02-13 01:30:48,0.8081
2021-02-13 01:30:53,0.8081
2021-02-13 01:30:58,0.8081
2021-02-13 01:31:03,0.8081
2021-02-13 01:31:08,0.8081
2021-02-13 01:31:13,0.8081
2021-02-13 01:31:18,0.8081
2021-02-13 01:31:23,0.808
2021-02-13 01:31:28,0.8081
2021-02-13 01:31:33,0.8081
2021-02-13 01:31:38,0.8081
2021-02-13 01:31:43,0.8081
2021-02-13 01:31:48,0.8081
2021-02-13 01:31:53,0.8081
2021-02-13 01:31:58,0.8081
2021-02-13 01:32:03,0.8081
2021-02-13 01:32:08,0.8081
2021-02-13 01:32:13,0.8081
2021-02-13 01:32:18,0.8081
2021-02-13 01:32:23,0.8081
2021-02-13 01:32:28,0.8081
2021-02-13 01:32:33,0.808
2021-02-13 01:32:38,0.8081
2021-02-13 01:32:43,0.8081
2021-02-13 01:32:48,0.8081
2021-02-13 01:32:53,0.8081
2021-02-13 01:32:58,0.8081
2021-02-13 01:33:03,0.8081
2021-02-13 01:33:08,0.8081
2021-02-13 01:33:13,0.8081
2021-02-13 01:33:18,0.8081
2021-02-13 01:33:23,0.8081
2021-02-13 01:33:28,0.8081
2021-02-13 01:33:33,0.8081
2021-02-13 01:33:38,0.8081
2021-02-13 01:33:43,0.8081
2021-02-13 01:33:48,0.8081
2021-02-13 01:33:53,0.8081
2021-02-13 01:33:58,0.8081
2021-02-13 01:34:03,0.8081
2021-02-13 01:34:08,0.8081
2021-02-13 01:34:13,0.8081
2021-02-13 01:34:18,0.8081
2021-02-13 01:34:23,0.8081
2021-02-13 01:34:28,0.8081
2021-02-13 01:34:33,0.8081
2021-02-13 01:34:38,0.8081
